"Timestamp","Wenn Sie mit dem Empfehlungsprozess zum ersten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 1 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 1 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Wenn Sie mit dem Empfehlungsprozess zum zweiten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 2 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 2 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Wenn Sie mit dem Empfehlungsprozess zum dritten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 3 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 3 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Ich denke, dass ich das System gerne häufig benutzen würde.","Ich fand das System unnötig komplex.","Ich fand das System einfach zu benutzen.","Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.","Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.","Ich denke, das System enthielt zu viele Inkonsistenzen.","Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.","Ich fand das System sehr umständlich zu nutzen.","Ich fühlte mich bei der Benutzung des Systems sehr sicher.","Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden.","Hier können Sie mir Kommentare, Anregungen und Verbesserungsvorschläge geben","Welches Geschlecht haben Sie?","Wie alt sind Sie?","Wie viele Jahre Berufserfahrung haben Sie insgesamt?","Was ist Ihr Beruf?","Was ist Ihr höchster Bildungsabschluss?","Haben Sie bereits Erfahrung mit Kreativitätstechniken? Falls ja, mit welchen?","Wie schätzen Sie Ihre Erfahrung mit Kreativitätstechniken ein?"
"2017/10/16 8:33:56 pm CET","HKYLSAGn","Ja","Ich möchte die empfohlene Technik behalten","bmaR8bOG","Ja","Ich möchte die empfohlene Technik behalten","ITbFWyHv","Nein","Ich möchte die empfohlene Technik behalten","3","2","4","1","3","2","4","2","5","1","","Weiblich","21","1","Motion Graphics","Bachlor","SWOT, 6-Hüte, Ubertreibung, Walt Disney, 635","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/17 3:16:48 pm CET","zqjWCoy6","Nein","Ich möchte die empfohlene Technik behalten","Ymz6G82G","Ja","Ich möchte die empfohlene Technik behalten","SBKQTybd","Ja","Ich möchte die empfohlene Technik behalten","3","3","3","1","4","3","4","2","4","1",".","Männlich","24","0.583","7 Monate Werkstudent JEE Entwickler","Bachlor","Ja, die Hütetechnik kannte ich aus einer Vorlesung und die verschiedenen Scrumtechniken wenden wir in der Arbeit an. Meiner Meinung nach führen diese aber oft zu mehr Hindernissen, insofern kein extrem gutes Teamklima herrscht und die Sozialkompetenz der Einzelnen nicht höher ist als die des Durchschnittsentwicklers. Scrum wird oft auch schlecht geleitet (auch von zertifizierten ""Scrum Meistern""). In unserem konkreten Fall wurde das Team mehrfach in kleinere Teams zerrissen, um dann mehrere kleine Scrums abzuhalten, statt einem Riesigen ==> Extremer Overhead, der durch fähigen Umgang mit Tools wie Git Issuetrackern und z.B. continuous Integration weitgehend vorgebeugt werden sollte. Ich halte daher Ruheräume, Zeit für eigene firmeninterne Projekte und evtl. Hackathons für sinnvoller. ","Regelmäßige Anwendung von Kreativitätstechniken"
"2017/10/17 5:32:41 pm CET","uMTth6mE","Ja","Ich habe in der Liste eine besser geeignete Technik gefunden","GhONjdQv","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","S3zHD8uf","Ja","Ich möchte die empfohlene Technik behalten","1","4","2","1","4","3","4","4","2","1","","Männlich","23","","","Bachlor","","Komplette(r) Anfänger(in)"
"2017/10/17 6:11:40 pm CET","86HG11QW","Ja","Ich möchte die empfohlene Technik behalten","4PbcAcX4","Ja","Ich möchte die empfohlene Technik behalten","m5I7rveP","Nein","Ich möchte die empfohlene Technik behalten","2","1","5","1","4","3","4","2","3","1","","Weiblich","22","0","","Gymnasium","","Grobe Vorstellung davon, was Kreativitätstechniken sind und wie man diese anwendet"
"2017/10/17 7:19:00 pm CET","wxNeomFC","Ja","Ich möchte die empfohlene Technik behalten","CnKQEJ4v","Ja","Ich möchte die empfohlene Technik behalten","dZLPLljv","Ja","Ich möchte die empfohlene Technik behalten","3","3","5","1","5","1","4","1","5","1","","Weiblich","50","32","Industriekauffrau","Gymnasium","","Komplette(r) Anfänger(in)"
"2017/10/19 7:08:46 pm CET","WH09UNYh","Ja","Ich möchte die empfohlene Technik behalten","k6Y3EnjS","Ja","Ich möchte die empfohlene Technik behalten","tmh3leIX","Ja","Ich möchte die empfohlene Technik behalten","3","4","1","5","3","3","1","3","3","5"," “Otto Normalverbraucher“ benötigt Hilfestellung zu diesem sehr komplexen Themen. Zu viele Fremdwörter, zum Teil ist die Fragestellung schwer zu verstehen.","Männlich","51","36","Vertrieb","Hauptschule","","Komplette(r) Anfänger(in)"
"2017/10/22 7:12:21 pm CET","xP3q1LxV","Ja","Ich möchte die empfohlene Technik behalten","bIEyjg0i","Nein","","ndYtng7k","Ja","","4","1","5","2","4","1","4","1","5","1","","Männlich","56","40","UW","Diplom","Brainstorming","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/23 6:13:03 pm CET","x6YNDPyi","Ja","Ich möchte die empfohlene Technik behalten","IRFILmNP","Ja","Ich möchte die empfohlene Technik behalten","ELLObEoK","Nein","Ich möchte die empfohlene Technik behalten","2","2","4","2","5","1","5","1","5","2","","Weiblich","25","0","Studentin","Bachlor","","Komplette(r) Anfänger(in)"
"2017/10/26 10:22:10 am CET","O16BXGN6","Nein","Ich möchte die empfohlene Technik behalten","AaH5Sgec","Ja","Ich möchte die empfohlene Technik behalten","7hD28IIC","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","4","3","4","1","3","3","4","2","3","2","","Männlich","28","8","","Bachlor","Nein","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/26 7:09:57 pm CET","k3cijyDv","Ja","Ich möchte die empfohlene Technik behalten","tT0P4UjF","Ja","Ich möchte die empfohlene Technik behalten","ZUSXQjSv","Ja","Ich möchte die empfohlene Technik behalten","4","1","5","1","5","1","5","1","5","1","","Weiblich","32","13","Kauffrau für Büromanagement","Gymnasium","","Regelmäßige Anwendung von Kreativitätstechniken"
